genes,,
Name,Symbol,Cross-references
SMAD family member 9,SMAD9,"Comparative Toxicogenomics Database:4093, Ensembl:ENSG00000120693, GenAtlas:SMAD9, GeneCard:SMAD9, HGNC:HGNC:6774, HumanCyc Gene:HS04421, ModBase:O15198, NCBI Gene:4093, OMIM:178600, OMIM:603295, RefSeq DNA:NG_016963, RefSeq DNA:NT_024524, RefSeq Protein:NP_001120689, RefSeq Protein:NP_005896, RefSeq RNA:NM_001127217, RefSeq RNA:NM_005905, UCSC Genome Browser:NM_005905, UniProtKB:O15198"
steroid sulfatase,STS,"Comparative Toxicogenomics Database:412, Ensembl:ENSG00000101846, GenAtlas:STS, GeneCard:STS, HGNC:HGNC:11425, HumanCyc Gene:HS02306, ModBase:P08842, NCBI Gene:412, OMIM:300747, OMIM:308100, RefSeq DNA:NG_021472, RefSeq DNA:NT_167197, RefSeq Protein:NP_000342, RefSeq RNA:NM_000351, UCSC Genome Browser:NM_000351, UniProtKB:P08842"
acyl-CoA binding domain containing 7,ACBD7,"Comparative Toxicogenomics Database:414149, Ensembl:ENSG00000176244, GeneCard:ACBD7, HGNC:HGNC:17715, ModBase:Q8N6N7, NCBI Gene:414149, RefSeq DNA:NT_008705, RefSeq Protein:NP_001034933, RefSeq RNA:NM_001039844, UniProtKB:Q8N6N7"
ADAM metallopeptidase domain 11,ADAM11,"Comparative Toxicogenomics Database:4185, Ensembl:ENSG00000073670, GenAtlas:ADAM11, GeneCard:ADAM11, HGNC:HGNC:189, HumanCyc Gene:HS01109, ModBase:O75078, NCBI Gene:4185, OMIM:155120, RefSeq DNA:NT_010783, RefSeq Protein:NP_002381, RefSeq RNA:NM_002390, UCSC Genome Browser:NM_002390, UniProtKB:O75078"
"RAB8A, member RAS oncogene family",RAB8A,"Comparative Toxicogenomics Database:4218, Ensembl:ENSG00000167461, GenAtlas:RAB8A, GeneCard:RAB8A, HGNC:HGNC:7007, HumanCyc Gene:HS09561, ModBase:P61006, NCBI Gene:4218, OMIM:165040, RefSeq DNA:NT_011295, RefSeq Protein:NP_005361, RefSeq RNA:NM_005370, UCSC Genome Browser:NM_005370, UniProtKB:P61006"
secretoglobin family 2A member 1,SCGB2A1,"Comparative Toxicogenomics Database:4246, Ensembl:ENSG00000124939, GenAtlas:SCGB2A1, GeneCard:SCGB2A1, HGNC:HGNC:7051, HumanCyc Gene:HS04848, ModBase:O75556, NCBI Gene:4246, OMIM:604398, RefSeq DNA:NT_167190, RefSeq Protein:NP_002398, RefSeq RNA:NM_002407, UCSC Genome Browser:NM_002407, UniProtKB:O75556"
secretoglobin family 2A member 2,SCGB2A2,"Comparative Toxicogenomics Database:4250, Ensembl:ENSG00000110484, GenAtlas:SCGB2A2, GeneCard:SCGB2A2, HGNC:HGNC:7050, HumanCyc Gene:HS03315, ModBase:Q13296, NCBI Gene:4250, OMIM:605562, RefSeq DNA:NT_167190, RefSeq Protein:NP_002402, RefSeq RNA:NM_002411, UCSC Genome Browser:NM_002411, UniProtKB:Q13296"
macrophage migration inhibitory factor,MIF,"Comparative Toxicogenomics Database:4282, Ensembl:ENSG00000240972, GenAtlas:MIF, GeneCard:MIF, HGNC:HGNC:7097, HumanCyc Gene:HS01940, ModBase:P14174, NCBI Gene:4282, OMIM:153620, OMIM:604302, RefSeq DNA:NG_012099, RefSeq DNA:NT_011520, RefSeq Protein:NP_002406, RefSeq RNA:NM_002415, UCSC Genome Browser:NM_002415, UniProtKB:P14174"
major intrinsic protein of lens fiber,MIP,"Comparative Toxicogenomics Database:4284, Ensembl:ENSG00000135517, GenAtlas:MIP, GeneCard:MIP, HGNC:HGNC:7103, HumanCyc Gene:HS06023, ModBase:P30301, NCBI Gene:4284, OMIM:154050, OMIM:604219, RefSeq DNA:NG_021397, RefSeq DNA:NT_029419, RefSeq Protein:NP_036196, RefSeq RNA:NM_012064, UCSC Genome Browser:NM_012064, UniProtKB:P30301"
mitochondrial intermediate peptidase,MIPEP,"Comparative Toxicogenomics Database:4285, Ensembl:ENSG00000027001, GenAtlas:MIPEP, GeneCard:MIPEP, HGNC:HGNC:7104, HumanCyc Gene:HS00455, ModBase:Q99797, NCBI Gene:4285, OMIM:602241, RefSeq DNA:NT_024524, RefSeq Protein:NP_005923, RefSeq RNA:NM_005932, UCSC Genome Browser:NM_005932, UniProtKB:Q99797"
melanocyte inducing transcription factor,MITF,"Comparative Toxicogenomics Database:4286, Ensembl:ENSG00000187098, GenAtlas:MITF, GeneCard:MITF, HGNC:HGNC:7105, HumanCyc Gene:HS08844, ModBase:O75030, NCBI Gene:4286, OMIM:103470, OMIM:103500, OMIM:156845, OMIM:193510, RefSeq DNA:NG_011631, RefSeq DNA:NT_022459, RefSeq Protein:NP_000239, RefSeq Protein:NP_001171896, RefSeq Protein:NP_001171897, RefSeq Protein:NP_006713, RefSeq Protein:NP_937801, RefSeq Protein:NP_937802, RefSeq Protein:NP_937820, RefSeq Protein:NP_937821, RefSeq RNA:NM_000248, RefSeq RNA:NM_001184967, RefSeq RNA:NM_001184968, RefSeq RNA:NM_006722, RefSeq RNA:NM_198158, RefSeq RNA:NM_198159, RefSeq RNA:NM_198177, RefSeq RNA:NM_198178, UCSC Genome Browser:NM_000248, UniProtKB:O75030"
marker of proliferation Ki-67,MKI67,"Comparative Toxicogenomics Database:4288, Ensembl:ENSG00000148773, GenAtlas:MKI67, GeneCard:MKI67, HGNC:HGNC:7107, HumanCyc Gene:HS07559, ModBase:P46013, NCBI Gene:4288, OMIM:176741, RefSeq DNA:NT_008818, RefSeq Protein:NP_001139438, RefSeq Protein:NP_002408, RefSeq RNA:NM_001145966, RefSeq RNA:NM_002417, UCSC Genome Browser:NM_002417, UniProtKB:P46013"
muskelin 1,MKLN1,"Comparative Toxicogenomics Database:4289, Ensembl:ENSG00000128585, GenAtlas:MKLN1, GeneCard:MKLN1, HGNC:HGNC:7109, HumanCyc Gene:HS05198, ModBase:Q9UL63, NCBI Gene:4289, OMIM:605623, RefSeq DNA:NT_007933, RefSeq DNA:NT_079596, RefSeq Protein:NP_001138826, RefSeq Protein:NP_037387, RefSeq RNA:NM_001145354, RefSeq RNA:NM_013255, UCSC Genome Browser:NM_013255, UniProtKB:B4DG30, UniProtKB:Q9UL63"
mutL homolog 1,MLH1,"Comparative Toxicogenomics Database:4292, Ensembl:ENSG00000076242, GenAtlas:MLH1, GeneCard:MLH1, HGNC:HGNC:7127, HumanCyc Gene:HS01203, ModBase:P40692, NCBI Gene:4292, OMIM:114030, OMIM:120436, OMIM:158320, OMIM:276300, OMIM:609310, RefSeq DNA:NG_007109, RefSeq DNA:NT_022517, RefSeq Protein:NP_000240, RefSeq Protein:NP_001161089, RefSeq Protein:NP_001161090, RefSeq Protein:NP_001161091, RefSeq RNA:NM_000249, RefSeq RNA:NM_001167617, RefSeq RNA:NM_001167618, RefSeq RNA:NM_001167619, UCSC Genome Browser:NM_000249, UniProtKB:B4DI13, UniProtKB:B4DQ11, UniProtKB:P40692, UniProtKB:Q5GJ64"
acetylcholinesterase (Cartwright blood group),ACHE,"Comparative Toxicogenomics Database:43, Ensembl:ENSG00000087085, GenAtlas:ACHE, GeneCard:ACHE, HGNC:HGNC:108, HumanCyc Gene:HS01552, ModBase:Q9BXP7, NCBI Gene:43, OMIM:100740, OMIM:112100, RefSeq DNA:NG_007474, RefSeq DNA:NT_007933, RefSeq DNA:NT_079595, RefSeq Protein:NP_000656, RefSeq Protein:NP_056646, RefSeq RNA:NM_000665, RefSeq RNA:NM_015831, UCSC Genome Browser:NM_000665, UniProtKB:P22303"
MLLT3 super elongation complex subunit,MLLT3,"Comparative Toxicogenomics Database:4300, Ensembl:ENSG00000171843, GenAtlas:MLLT3, GeneCard:MLLT3, HGNC:HGNC:7136, HumanCyc Gene:HS10396, ModBase:P42568, NCBI Gene:4300, OMIM:159558, RefSeq DNA:NT_008413, RefSeq Protein:NP_004520, RefSeq RNA:NM_004529, UCSC Genome Browser:NM_004529, UniProtKB:P42568, UniProtKB:Q6MZE2, UniProtKB:Q8IVB0"
"afadin, adherens junction formation factor",AFDN,"Comparative Toxicogenomics Database:4301, Ensembl:ENSG00000130396, GenAtlas:MLLT4, GeneCard:MLLT4, HGNC:HGNC:7137, HumanCyc Gene:HS05382, ModBase:P55196, NCBI Gene:4301, OMIM:159559, RefSeq DNA:NT_025741, RefSeq Protein:NP_001035089, RefSeq Protein:NP_001035090, RefSeq Protein:NP_001193937, RefSeq Protein:NP_005927, RefSeq RNA:NM_001040000, RefSeq RNA:NM_001040001, RefSeq RNA:NM_001207008, RefSeq RNA:NM_005936, UCSC Genome Browser:NM_005936"
"MLLT6, PHD finger containing",MLLT6,"Comparative Toxicogenomics Database:4302, Ensembl:ENSG00000108292, GenAtlas:MLLT6, GeneCard:MLLT6, HGNC:HGNC:7138, HumanCyc Gene:HS03082, ModBase:P55198, NCBI Gene:4302, OMIM:600328, RefSeq DNA:NT_010783, RefSeq Protein:NP_005928, RefSeq RNA:NM_005937, UCSC Genome Browser:NM_005937, UniProtKB:P55198"
nuclear receptor subfamily 3 group C member 2,NR3C2,"Comparative Toxicogenomics Database:4306, Ensembl:ENSG00000151623, GenAtlas:NR3C2, GeneCard:NR3C2, HGNC:HGNC:7979, HumanCyc Gene:HS07752, ModBase:P08235, NCBI Gene:4306, OMIM:177735, OMIM:600983, OMIM:605115, RefSeq DNA:NG_013350, RefSeq DNA:NT_016354, RefSeq Protein:NP_000892, RefSeq Protein:NP_001159576, RefSeq RNA:NM_000901, RefSeq RNA:NM_001166104, UCSC Genome Browser:NM_000901, UniProtKB:B0ZBF5, UniProtKB:B0ZBF6, UniProtKB:P08235, UniProtKB:Q2NKL1"
membrane metalloendopeptidase,MME,"Comparative Toxicogenomics Database:4311, Ensembl:ENSG00000196549, GenAtlas:MME, GeneCard:MME, HGNC:HGNC:7154, HumanCyc Gene:HS03802, NCBI Gene:4311, OMIM:120520, RefSeq DNA:NT_005612, RefSeq Protein:NP_000893, RefSeq Protein:NP_009218, RefSeq Protein:NP_009219, RefSeq Protein:NP_009220, RefSeq RNA:NM_000902, RefSeq RNA:NM_007287, RefSeq RNA:NM_007288, RefSeq RNA:NM_007289, UCSC Genome Browser:NM_000902, UniProtKB:P08473"
matrix metallopeptidase 1,MMP1,"Comparative Toxicogenomics Database:4312, Ensembl:ENSG00000196611, GenAtlas:MMP1, GeneCard:MMP1, HGNC:HGNC:7155, HumanCyc Gene:HS07652, ModBase:P03956, NCBI Gene:4312, OMIM:120353, OMIM:226600, OMIM:606963, RefSeq DNA:NG_011740, RefSeq DNA:NT_033899, RefSeq Protein:NP_001139410, RefSeq Protein:NP_002412, RefSeq RNA:NM_001145938, RefSeq RNA:NM_002421, UCSC Genome Browser:NM_002421, UniProtKB:B4DN15, UniProtKB:P03956, UniProtKB:Q53G95"
matrix metallopeptidase 2,MMP2,"Comparative Toxicogenomics Database:4313, Ensembl:ENSG00000087245, GenAtlas:MMP2, GeneCard:MMP2, HGNC:HGNC:7166, HumanCyc Gene:HS01565, ModBase:P08253, NCBI Gene:4313, OMIM:120360, OMIM:259600, RefSeq DNA:NG_008989, RefSeq DNA:NT_010498, RefSeq Protein:NP_001121363, RefSeq Protein:NP_004521, RefSeq RNA:NM_001127891, RefSeq RNA:NM_004530, UCSC Genome Browser:NM_004530, UniProtKB:P08253"
matrix metallopeptidase 3,MMP3,"Comparative Toxicogenomics Database:4314, Ensembl:ENSG00000149968, GenAtlas:MMP3, GeneCard:MMP3, HGNC:HGNC:7173, HumanCyc Gene:HS10866, ModBase:P08254, NCBI Gene:4314, OMIM:185250, RefSeq DNA:NG_012100, RefSeq DNA:NT_033899, RefSeq Protein:NP_002413, RefSeq RNA:NM_002422, UCSC Genome Browser:NM_002422, UniProtKB:P08254"
matrix metallopeptidase 7,MMP7,"Comparative Toxicogenomics Database:4316, Ensembl:ENSG00000137673, GenAtlas:MMP7, GeneCard:MMP7, HGNC:HGNC:7174, HumanCyc Gene:HS06371, ModBase:P09237, NCBI Gene:4316, OMIM:178990, RefSeq DNA:NT_033899, RefSeq Protein:NP_002414, RefSeq RNA:NM_002423, UCSC Genome Browser:NM_002423, UniProtKB:P09237"
matrix metallopeptidase 8,MMP8,"Comparative Toxicogenomics Database:4317, Ensembl:ENSG00000118113, GenAtlas:MMP8, GeneCard:MMP8, HGNC:HGNC:7175, HumanCyc Gene:HS04191, ModBase:P22894, NCBI Gene:4317, OMIM:120355, RefSeq DNA:NG_012101, RefSeq DNA:NT_033899, RefSeq Protein:NP_002415, RefSeq RNA:NM_002424, UCSC Genome Browser:NM_002424, UniProtKB:P22894"
matrix metallopeptidase 9,MMP9,"Comparative Toxicogenomics Database:4318, Ensembl:ENSG00000100985, GenAtlas:MMP9, GeneCard:MMP9, HGNC:HGNC:7176, HumanCyc Gene:HS02175, ModBase:P14780, NCBI Gene:4318, OMIM:120361, OMIM:603932, OMIM:613073, RefSeq DNA:NG_011468, RefSeq DNA:NT_011362, RefSeq Protein:NP_004985, RefSeq RNA:NM_004994, UCSC Genome Browser:NM_004994, UniProtKB:P14780"
matrix metallopeptidase 10,MMP10,"Comparative Toxicogenomics Database:4319, Ensembl:ENSG00000166670, GenAtlas:MMP10, GeneCard:MMP10, HGNC:HGNC:7156, HumanCyc Gene:HS09434, ModBase:P09238, NCBI Gene:4319, OMIM:185260, RefSeq DNA:NT_033899, RefSeq Protein:NP_002416, RefSeq RNA:NM_002425, UCSC Genome Browser:NM_002425, UniProtKB:P09238"
matrix metallopeptidase 11,MMP11,"Comparative Toxicogenomics Database:4320, Ensembl:ENSG00000099953, GenAtlas:MMP11, GeneCard:MMP11, HGNC:HGNC:7157, HumanCyc Gene:HS01935, ModBase:P24347, NCBI Gene:4320, OMIM:185261, RefSeq DNA:NT_011520, RefSeq Protein:NP_005931, RefSeq RNA:NM_005940, UCSC Genome Browser:NM_005940, UniProtKB:B3KQS8, UniProtKB:P24347"
matrix metallopeptidase 12,MMP12,"Comparative Toxicogenomics Database:4321, Ensembl:ENSG00000110347, GenAtlas:MMP12, GeneCard:MMP12, HGNC:HGNC:7158, HumanCyc Gene:HS03303, ModBase:P39900, NCBI Gene:4321, OMIM:601046, RefSeq DNA:NT_033899, RefSeq Protein:NP_002417, RefSeq RNA:NM_002426, UCSC Genome Browser:NM_002426, UniProtKB:P39900"
matrix metallopeptidase 13,MMP13,"Comparative Toxicogenomics Database:4322, Ensembl:ENSG00000137745, GenAtlas:MMP13, GeneCard:MMP13, HGNC:HGNC:7159, HumanCyc Gene:HS06385, ModBase:P45452, NCBI Gene:4322, OMIM:600108, OMIM:602111, RefSeq DNA:NG_021404, RefSeq DNA:NT_033899, RefSeq Protein:NP_002418, RefSeq RNA:NM_002427, UCSC Genome Browser:NM_002427, UniProtKB:P45452"
matrix metallopeptidase 14,MMP14,"Comparative Toxicogenomics Database:4323, Ensembl:ENSG00000157227, GenAtlas:MMP14, GeneCard:MMP14, HGNC:HGNC:7160, HumanCyc Gene:HS08195, ModBase:P50281, NCBI Gene:4323, OMIM:600754, RefSeq DNA:NT_026437, RefSeq Protein:NP_004986, RefSeq RNA:NM_004995, UCSC Genome Browser:NM_004995, UniProtKB:P50281"
matrix metallopeptidase 15,MMP15,"Comparative Toxicogenomics Database:4324, Ensembl:ENSG00000102996, GenAtlas:MMP15, GeneCard:MMP15, HGNC:HGNC:7161, HumanCyc Gene:HS02439, ModBase:P51511, NCBI Gene:4324, OMIM:602261, RefSeq DNA:NT_010498, RefSeq Protein:NP_002419, RefSeq RNA:NM_002428, UCSC Genome Browser:NM_002428, UniProtKB:P51511"
matrix metallopeptidase 16,MMP16,"Comparative Toxicogenomics Database:4325, Ensembl:ENSG00000156103, GenAtlas:MMP16, GeneCard:MMP16, HGNC:HGNC:7162, HumanCyc Gene:HS08096, ModBase:P51512, NCBI Gene:4325, OMIM:602262, RefSeq DNA:NT_008046, RefSeq Protein:NP_005932, RefSeq Protein:NP_072086, RefSeq RNA:NM_005941, RefSeq RNA:NM_022564, UCSC Genome Browser:NM_005941, UniProtKB:P51512"
matrix metallopeptidase 17,MMP17,"Comparative Toxicogenomics Database:4326, Ensembl:ENSG00000198598, GenAtlas:MMP17, GeneCard:MMP17, HGNC:HGNC:7163, ModBase:Q9ULZ9, NCBI Gene:4326, OMIM:602285, RefSeq DNA:NT_009755, RefSeq Protein:NP_057239, RefSeq RNA:NM_016155, UCSC Genome Browser:NM_016155, UniProtKB:Q8IWC3, UniProtKB:Q9ULZ9"
matrix metallopeptidase 19,MMP19,"Comparative Toxicogenomics Database:4327, Ensembl:ENSG00000123342, GenAtlas:MMP19, GeneCard:MMP19, HGNC:HGNC:7165, HumanCyc Gene:HS04648, ModBase:Q99542, NCBI Gene:4327, OMIM:601807, RefSeq DNA:NT_029419, RefSeq Protein:NP_002420, RefSeq RNA:NM_002429, UCSC Genome Browser:NM_002429, UniProtKB:Q99542"
aldehyde dehydrogenase 6 family member A1,ALDH6A1,"Comparative Toxicogenomics Database:4329, Ensembl:ENSG00000119711, GenAtlas:ALDH6A1, GeneCard:ALDH6A1, HGNC:HGNC:7179, HumanCyc Gene:HS04328, ModBase:Q02252, NCBI Gene:4329, OMIM:603178, RefSeq DNA:NG_012257, RefSeq DNA:NT_026437, RefSeq Protein:NP_005580, RefSeq RNA:NM_005589, UCSC Genome Browser:NM_005589, UniProtKB:Q02252"
"MN1 proto-oncogene, transcriptional regulator",MN1,"Comparative Toxicogenomics Database:4330, Ensembl:ENSG00000169184, GenAtlas:MN1, GeneCard:MN1, HGNC:HGNC:7180, HumanCyc Gene:HS09894, ModBase:Q10571, NCBI Gene:4330, OMIM:156100, OMIM:607174, RefSeq DNA:NG_023258, RefSeq DNA:NT_011520, RefSeq Protein:NP_002421, RefSeq RNA:NM_002430, UCSC Genome Browser:NM_002430, UniProtKB:Q10571"
MNAT1 component of CDK activating kinase,MNAT1,"Comparative Toxicogenomics Database:4331, Ensembl:ENSG00000020426, GenAtlas:MNAT1, GeneCard:MNAT1, HGNC:HGNC:7181, HumanCyc Gene:HS00403, ModBase:P51948, NCBI Gene:4331, OMIM:602659, RefSeq DNA:NT_026437, RefSeq Protein:NP_001171434, RefSeq Protein:NP_002422, RefSeq RNA:NM_001177963, RefSeq RNA:NM_002431, UCSC Genome Browser:NM_002431, UniProtKB:P51948"
myeloid cell nuclear differentiation antigen,MNDA,"Comparative Toxicogenomics Database:4332, Ensembl:ENSG00000163563, GenAtlas:MNDA, GeneCard:MNDA, HGNC:HGNC:7183, HumanCyc Gene:HS08881, ModBase:P41218, NCBI Gene:4332, OMIM:159553, RefSeq DNA:NT_004487, RefSeq Protein:NP_002423, RefSeq RNA:NM_002432, UCSC Genome Browser:NM_002432, UniProtKB:P41218, UniProtKB:Q5VUU6"
MAX network transcriptional repressor,MNT,"Comparative Toxicogenomics Database:4335, Ensembl:ENSG00000070444, GenAtlas:MNT, GeneCard:MNT, HGNC:HGNC:7188, HumanCyc Gene:HS00996, ModBase:Q99583, NCBI Gene:4335, OMIM:603039, RefSeq DNA:NT_010718, RefSeq Protein:NP_064706, RefSeq RNA:NM_020310, UCSC Genome Browser:NM_020310, UniProtKB:Q99583"
molybdenum cofactor synthesis 1,MOCS1,"Comparative Toxicogenomics Database:4337, Ensembl:ENSG00000124615, GenAtlas:MOCS1, GeneCard:MOCS1, HGNC:HGNC:7190, HumanCyc Gene:HS04808, ModBase:Q5TCE2, NCBI Gene:4337, OMIM:252150, OMIM:603707, RefSeq DNA:NG_009297, RefSeq DNA:NT_007592, RefSeq Protein:NP_001068566, RefSeq Protein:NP_005933, RefSeq Protein:NP_005934, RefSeq Protein:NP_620306, RefSeq RNA:NM_001075098, RefSeq RNA:NM_005942, RefSeq RNA:NM_005943, RefSeq RNA:NM_138928, RefSeq RNA:NR_033233, UCSC Genome Browser:NM_005942, UniProtKB:Q9NZB8"
molybdenum cofactor synthesis 2,MOCS2,"Comparative Toxicogenomics Database:4338, Ensembl:ENSG00000164172, GenAtlas:MOCS2, GeneCard:MOCS2, HGNC:HGNC:7193, HumanCyc Gene:HS09033, ModBase:O96007, ModBase:O96033, NCBI Gene:4338, OMIM:252150, OMIM:603708, RefSeq DNA:NG_008435, RefSeq DNA:NT_006713, RefSeq Protein:NP_004522, RefSeq Protein:NP_789776, RefSeq RNA:NM_004531, RefSeq RNA:NM_176806, UCSC Genome Browser:NM_004531, UniProtKB:O96007, UniProtKB:O96033"
myelin oligodendrocyte glycoprotein,MOG,"Comparative Toxicogenomics Database:4340, Ensembl:ENSG00000204655, GenAtlas:MOG, GeneCard:MOG, HGNC:HGNC:7197, HumanCyc Gene:HS06325, ModBase:Q99605, NCBI Gene:4340, OMIM:159465, RefSeq DNA:NT_007592, RefSeq DNA:NT_113891, RefSeq DNA:NT_167244, RefSeq DNA:NT_167245, RefSeq DNA:NT_167246, RefSeq DNA:NT_167247, RefSeq DNA:NT_167248, RefSeq DNA:NT_167249, RefSeq Protein:NP_001008229, RefSeq Protein:NP_001008230, RefSeq Protein:NP_001163889, RefSeq Protein:NP_002424, RefSeq Protein:NP_996532, RefSeq Protein:NP_996533, RefSeq Protein:NP_996534, RefSeq Protein:NP_996535, RefSeq Protein:NP_996536, RefSeq Protein:NP_996537, RefSeq RNA:NM_001008228, RefSeq RNA:NM_001008229, RefSeq RNA:NM_001170418, RefSeq RNA:NM_002433, RefSeq RNA:NM_206809, RefSeq RNA:NM_206810, RefSeq RNA:NM_206811, RefSeq RNA:NM_206812, RefSeq RNA:NM_206813, RefSeq RNA:NM_206814, UCSC Genome Browser:NM_002433, UniProtKB:Q16653, UniProtKB:Q29ZN8, UniProtKB:Q5SSB8, UniProtKB:Q5STL9, UniProtKB:Q5SUK4, UniProtKB:Q5SUK7, UniProtKB:Q5SUK9, UniProtKB:Q5SUL0, UniProtKB:Q5SUL1"
